despair,710
sense,1185
everywhere,648
story,889
forever,4721
offering,105
ways,1285
led,440
road,1279
rein,6
nights,893
awake,1028
ended,193
arrive,174
hiding,606
semblance,17
feeling,2392
found,2388
around,5203
lonely,1286
voice,1814
had,5074
told,1780
different,877
searching,1041
place,4291
blindly,109
leave,4437
faithfully,33
embrace,1046
without,4245
long,4979
yearning,198
foryour,2
sinful,111
touch,1775
own,5074
decay,749
fade,1256
always,5650
together,1976
beside,415
ghost,635
within,3205
near,1204
heart,8570
empty,1803
walk,2986
endless,1432
used,1525
wanted,1399
ago,609
knew,1570
strange,768
unknown,887
toll,234
smiled,116
cry,2984
reprieve,18
slips,166
seems,2054
planted,65
seed,498
strong,1958
even,3319
though,1510
abandoned,256
closed,522
door,1700
soul,7298
peace,1520
thoughts,2059
company,234
misery,1176
burden,389
complete,436
alive,3169
ease,331
d,4907
sadness,500
chasing,310
leads,415
madness,889
window,450
more,9988
hidden,673
treasure,160
inner,564
cries,1194
afraid,1374
surrounds,285
hell,5685
glory,1070
child,1595
distant,548
point,947
warmness,7
love,12776
yours,897
think,5894
memories,1421
ours,302
stood,436
faltered,15
carefree,21
instead,549
words,4095
worry,272
marched,47
childhood,119
every,6346
step,1813
wrong,3002
throw,995
unheard,109
turns,909
silence,2279
void,667
wheel,322
heard,1528
calm,439
gutter,97
throne,696
places,402
much,3641
learn,1247
known,925
shown,249
escape,1381
stuck,542
beginning,624
spent,440
veil,395
ascends,22
cease,316
pretend,522
hate,5244
countless,201
fears,885
descends,94
transcend,70
means,819
failed,534
grow,954
lived,626
replenished,3
wash,573
forsaken,292
mirror,955
like,19696
reflection,398
getting,1714
clearer,82
books,154
history,565
nearer,83
stone,1283
holding,996
ascent,14
truth,3694
key,718
part,1667
unlocks,6
future,1841
fades,363
too,6822
fast,1234
last,5572
greatest,269
mystery,362
show,3250
space,1062
living,3248
best,1761
brighter,203
wondering,243
some,4375
things,4429
dance,1652
happenstance,5
waking,249
steps,395
build,616
tear,1580
castles,70
chase,305
spirits,545
standing,1345
plain,223
kept,604
although,243
spew,41
hopes,388
score,218
lie,3196
goodbye,1279
rather,607
denial,297
reborn,395
conform,70
plays,150
game,1827
frightens,14
lets,478
retrieve,30
thought,2815
meant,853
reality,1639
manifest,90
bear,512
brunt,6
marks,128
chosen,580
frozen,781
paths,209
cracks,280
weeps,57
bury,657
sticks,80
wood,186
burns,1067
burn,4108
becomes,523
bone,769
hope,3666
wonder,1043
whats,186
fucked,653
wont,669
fingers,635
apart,1840
simple,445
lack,324
talent,26
caving,34
losing,824
grip,440
falling,2388
speaker,26
speaks,230
sound,2091
haunted,275
hands,4033
cheers,35
wait,2475
influencing,2
fourteen,35
vents,3
scraped,30
became,431
reason,1915
opinion,101
jesus,697
forgive,761
get,11829
fact,422
use,1031
conditioning,18
operation,59
six,599
feet,1412
closing,343
rolling,275
pull,1092
would,5434
if,12391
should,3058
need,7032
repercussions,9
actions,245
sweep,101
scold,11
legend,170
seeps,40
blacken,47
crack,504
bleed,1805
download,13
weapon,226
grade,41
fearsome,24
copyright,21
program,55
angle,33
cut,1751
locked,576
repeat,285
carbon,38
faction,15
brings,615
low,771
definition,51
hypodermic,5
insertion,5
direct,47
stream,318
meeting,82
hearts,1571
vibes,23
discuss,15
ideas,148
locate,11
common,249
built,842
two,2161
angles,58
oblique,5
sounds,480
shouty,3
bit,552
thread,150
picked,135
followed,226
emit,10
an,8435
awareness,49
value,103
applied,25
spark,266
process,148
overcome,264
inertia,14
receive,209
revelation,226
beaten,291
skin,2314
drum,142
using,152
instruments,38
tune,212
drone,31
writhe,112
rhythm,200
blank,184
eyed,97
suffer,957
ritual,241
root,101
woman,698
serenity,138
mask,434
divinity,148
ask,1251
twist,380
serpentine,28
diablo,8
unnoticed,16
roots,210
elements,107
speaking,160
tongues,247
machine,794
indivisible,10
instincts,146
erased,193
easy,1165
burials,9
reasons,400
flies,388
feast,461
enhanced,18
corrosion,38
soullike,2
vessel,82
wither,150
zero,228
concessions,2
trivia,4
creed,101
withered,152
peel,129
layers,86
stripped,169
off,4118
fat,264
trimmings,4
remember,2521
forget,2213
offer,300
glass,718
full,2070
wish,2256
proof,220
lay,1527
fall,5713
little,3687
matters,278
anymore,1409
tide,417
suns,94
warmth,249
face,6565
most,1050
beautiful,1099
flower,230
lifes,80
circle,605
betray,215
dig,518
wear,517
smile,1609
shit,2716
surface,363
indelible,11
mark,535
wield,76
brightest,69
lighter,49
courses,18
longer,1197
everyone,1501
remaining,75
smoke,642
effort,59
enslaves,17
leaves,783
thousand,1375
rays,189
breathes,88
ready,1587
names,372
times,2324
seasons,199
breeze,329
water,1276
head,5004
shore,374
golden,619
freedom,1301
questions,440
years,2505
shudder,28
any,1725
sends,76
pricks,17
blue,1161
speak,1406
whatever,684
drag,329
myself,4057
dwell,361
cycle,173
flourish,28
nourish,22
harvest,192
fallen,1203
return,1584
given,865
knowledge,492
guided,96
wise,309
blessings,62
drift,279
ages,315
revere,11
walkers,3
erase,411
cast,925
oceans,355
lacking,48
integrity,88
function,46
four,638
walls,1663
habitat,19
design,232
essence,307
forwards,18
backwards,135
enough,2185
testament,51
fundament,3
hollowing,6
stem,47
swarming,44
locust,26
exist,522
virus,140
reduction,6
does,1668
instigators,5
progress,198
old,2667
less,711
guess,911
blessed,469
second,963
load,240
held,755
unclean,77
form,747
delusion,110
burned,666
sin,1777
darken,71
hollow,551
viewed,21
darkest,658
hole,838
outward,26
looking,1960
marked,110
deeper,633
scar,192
cause,7710
falls,957
climb,311
rough,155
terrain,27
dragged,154
depth,134
balance,201
same,3613
temptation,293
greet,160
fucking,3123
name,3588
breathe,1802
gills,4
distraction,23
undermined,9
overblown,5
seeds,313
sown,94
rachet,2
tighten,34
tat,19
asi,10
wilderness,95
swim,249
waters,367
burrowing,12
bellowing,3
consciousness,145
kicking,116
needing,87
want,10924
sucking,162
bleeding,1287
knee,119
substance,113
pulling,301
dragging,115
fail,609
allow,167
ourselves,632
move,1690
driven,311
focus,228
self,1181
branded,77
singing,442
markings,5
turning,1141
assimilate,17
push,988
flailing,17
limbs,321
create,468
chalk,31
gall,16
isn,831
children,1485
offerings,37
bow,664
