;artist;genre
67;Vilma E Vampiros Palma;['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']
68;Kasia Stankiewicz;['polish pop']
69;Damone;['adult standards', 'cabaret', 'christmas', 'easy listening', 'lounge', 'swing', 'vocal jazz']
70;Rauni Pekkala;['classic iskelma']
71;Capone-N-Noreaga;['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop']
72;Al Dexter;['cowboy western', 'western swing']
73;Tim Exile;['drill and bass']
74;Shania Twain;['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn', 'dance pop']
75;Bon Jovi;['glam metal', 'rock']
76;Gary Moore;['album rock', 'blues-rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock']
77;Galactic;['deep funk', 'funk', 'jam band', 'modern blues', 'new orleans funk']
78;Joe Turner;['blues', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'traditional blues']
79;Sonora Carruseles;['boogaloo', 'latin jazz', 'mambo', 'tropical']
80;Atman;['world chill', 'world fusion']
81;Becky Baeling;['deep vocal house']
82;Boyz II Men;['boy band', 'new jack swing', 'pop', 'r&b', 'urban contemporary']
83;Tha Alkaholiks;['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'turntablism']
84;Kill The Client;['deathgrind', 'grindcore', 'power violence']
85;Yvette Horner;['accordion']
86;Tex Williams;['country gospel', 'cowboy western', 'traditional country', 'western swing']
87;KMD;['alternative hip hop', 'hardcore hip hop', 'hip hop']
88;Army of the Pharoahs;['hardcore hip hop', 'underground rap']
89;Stephen Pearcy;['glam metal']
90;The Wilburns;['southern gospel']
91;The Bureau De Change;['digital hardcore']
92;Dolores Keane;['celtic', 'irish folk']
93;"Myrick ""Freeze"" Guillory";['cajun', 'zydeco']
94;Jamie Richards;['deep contemporary country', 'outlaw country', 'red dirt', 'texas country']
95;The Red Jumpsuit Apparatus;['emo', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'screamo']
96;Hacken Lee;['c-pop', 'cantopop', 'classic cantopop']
97;Jellyfish;['jangle pop', 'power pop']
98;Elli Kokkinou;['entehno', 'laiko']
99;The Chieftains;['celtic', 'irish folk']
100;Yellowcard;['bow pop', 'emo', 'modern rock', 'pop punk', 'pop rock', 'post-grunge']
101;The Stems;['power-pop punk']
102;Harry Lauder;['vaudeville']
103;Jacques Higelin;['chanson', 'french rock']
104;Lot Lorien;['bulgarian folk']
105;Klaus Badelt;['german soundtrack', 'scorecore', 'soundtrack', 'video game music']
106;KT Tunstall;['folk-pop', 'lilith', 'neo mellow', 'pop rock', 'scottish singer-songwriter']
107;GARFIELD;['latin rock', 'mexican indie']
108;Noemi;['italian arena pop', 'italian pop']
109;Nicola Fasano;['latin']
110;Slum Village;['alternative hip hop', 'detroit hip hop', 'hardcore hip hop', 'hip hop', 'indie r&b', 'neo soul', 'southern hip hop']
111;Paulette Tajah;['lovers rock']
112;Big Mike Griffin;['power blues-rock']
113;Dictafone;['french folk pop']
114;Lou Reid & Carolina;['bluegrass']
