;artist;genre
655;Extreme;['album rock', 'funk metal', 'glam metal', 'hard rock', 'rock']
656;Alice Cooper;['album rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']
657;Gina V. D'Orio;['digital hardcore']
658;Eurythmics;['dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']
659;El Gran Combo De Puerto Rico;['boogaloo', 'latin', 'latin jazz', 'mambo', 'salsa', 'tropical']
660;Blind Lemon Jefferson;['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'gospel blues', 'texas blues', 'traditional blues']
661;Dixie Chicks;['contemporary country', 'country', 'country dawn', 'pop rock']
662;Cumberland Quartet;['southern gospel']
663;Gorillaz;['alternative hip hop', 'art pop']
664;Prince;['funk', 'motown']
665;Alexis HK;['chanson', 'french folk pop', 'french rock']
666;Der Plan;['neue deutsche welle', 'zolo']
667;Josie;['focus']
668;5 Blind Boys Of Alabama;['gospel singers']
669;Play;['chicano rap']
670;Danny Wilson;['scottish new wave']
671;Jason Miles;['smooth jazz']
672;Sonia Dersion;['zouk']
673;El Poder del Norte;['banda', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican']
674;Sportsguitar;['swiss rock']
675;Louie Ramirez;['boogaloo', 'cuban rumba', 'jazz vibraphone', 'latin jazz', 'mambo', 'salsa international']
676;Barbara Carr;['soul blues', 'southern soul blues']
677;Swallow The Sun;['doom metal', 'finnish metal', 'gothic metal', 'melodic death metal', 'metal', 'pagan black metal', 'symphonic black metal']
678;Danielle Bollinger;['deep vocal house']
679;Smokin' Joe Kubek & Bnois King;['electric blues', 'modern blues', 'power blues-rock']
680;Ty Herndon;['contemporary country', 'country', 'country road']
681;Patsy Cline;['adult standards', 'christmas', 'country gospel', 'cowboy western', 'nashville sound', 'rockabilly', 'traditional country']
682;Fergie;['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']
683;Johnny Cash;['outlaw country', 'traditional country']
684;The Temper Trap;['alternative dance', 'australian alternative rock', 'indie pop', 'indietronica', 'modern rock']
685;Flor Silvestre;['mariachi', 'ranchera']
686;Percy Faith;['adult standards', 'ballroom', 'christmas', 'easy listening', 'lounge']
687;Pride Tiger;['deep melodic hard rock', 'vancouver indie']
688;The Stooges;['alternative rock', 'blues-rock', 'classic rock', 'dance rock', 'experimental', 'experimental rock', 'garage rock', 'grunge', 'neo-psychedelic', 'new wave', 'noise rock', 'permanent wave', 'post-punk', 'protopunk', 'psychedelic rock', 'punk', 'punk blues', 'rock', 'uk post-punk']
689;Charlie Peacock;['deep christian rock']
690;Michael Salgado;['norteno', 'tejano']
691;Bingo Players;['big room', 'dance pop', 'deep big room', 'edm', 'electro house', 'progressive electro house', 'progressive house']
692;Wang Chung;['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']
693;Sneaky Sound System;['aussietronica', 'australian dance', 'australian pop']
694;Lee Michaels;['southern rock']
695;DJ Isaac;['australian dance', 'deep hardstyle', 'gabba', 'happy hardcore', 'hardcore techno', 'hardstyle']
696;Peter Tosh;['dub', 'reggae', 'roots reggae']
697;Eleanor McEvoy;['irish singer-songwriter']
698;Electronic pig;['doomcore']
699;Alejandro Lerner;['latin pop']
700;Zeromancer;['dark wave', 'ebm', 'electro-industrial', 'futurepop', 'industrial metal', 'industrial rock', 'neue deutsche harte']
701;Mark Ashley;['italian disco']
702;Orquesta Broadway;['boogaloo', 'cuban rumba', 'latin jazz', 'mambo', 'salsa international']
703;Bob Marley & The Wailers;['reggae', 'roots reggae']
704;Janice Robinson;['deep vocal house']
705;Dorothy Norwood;['gospel', 'praise']
706;The London Pops Orchestra;['theme']
707;Mungo Jerry;['british blues', 'bubblegum pop']
708;Bury Your Dead;['christian hardcore', 'death core', 'groove metal', 'melodic metalcore', 'metalcore']
709;Rakim;['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']
710;Sir Neville Marriner;['classical performance', 'orchestral performance']
711;Steve Morse;['instrumental rock', 'jazz fusion', 'neo classical metal']
712;Generation X;['pub rock', 'punk']
713;Gyptian;['conscious hip hop', 'dancehall', 'reggae fusion', 'roots reggae']
714;Jimmy Johnson;['blues', 'chicago blues', 'electric blues']
715;The Brooklyn Tabernacle Choir;['gospel']
716;Igor Stravinsky;['classical', 'early modern classical', 'russian modern classical']
717;Tommy Torres;['cumbia', 'latin', 'latin pop', 'tropical']
718;Dallas Holm;['deep christian rock']
719;Bacilos;['colombian pop', 'latin', 'latin pop', 'pop', 'pop reggaeton', 'rock en espanol', 'tropical']
720;Five Bolt Main;['hard alternative', 'nu metal']
721;Juelz Santana;['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'trap music']
722;Sly Dunbar;['dub']
723;Migraine;['slash punk']
724;The Irish Tenors;['irish folk']
725;Ana Bekuta;['sevdah', 'turbo folk']
726;Tony Tuff;['dancehall']
727;The Cure;['alternative rock', 'dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']
728;Beto y sus Canarios;['banda', 'deep cumbia sonidera', 'duranguense', 'grupera', 'norteno', 'regional mexican']
729;Total Fucking Destruction;['deathgrind', 'goregrind', 'grindcore']
730;Basic Channel;['acid house', 'detroit techno', 'dub techno', 'german techno', 'intelligent dance music', 'microhouse', 'minimal techno', 'outsider house', 'techno']
731;Mystery;['otacore', 'solipsynthm']
732;Pablo Montero;['bolero', 'grupera', 'latin pop', 'mariachi', 'ranchera']
733;Black Flag;['alternative rock', 'crossover thrash', 'grunge', 'hardcore punk', 'post-hardcore', 'punk', 'skate punk']
734;Vanessa Bell Armstrong;['gospel']
735;DJ Vix;['bhangra', 'desi', 'desi hip hop', 'indian folk', 'indian pop', 'punjabi']
736;Lupe Fiasco;['conscious hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']
737;Neil Diamond;['adult standards', 'brill building pop', 'christmas', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']
738;Patty Griffin;['acoustic pop', 'alternative country', 'ectofolk', 'folk', 'folk-pop', 'lilith', 'new americana', 'singer-songwriter']
739;Sara Melson;['deep acoustic pop']
740;Cobra Killer;['digital hardcore', 'electroclash']
741;Franz Ferdinand;['alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']
742;Lyrics Born;['alternative hip hop', 'hip hop', 'turntablism']
743;Bas-Sheva;['exotica', 'lounge']
744;Four Tet;['alternative dance', 'bass music', 'chamber psych', 'electronic', 'indietronica', 'intelligent dance music', 'microhouse', 'new rave', 'nu jazz', 'trip hop']
745;The Bucketheads;['disco house', 'hip house', 'vocal house']
746;B.o.B;['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']
747;The Shangri-Las;['brill building pop', 'classic girl group']
748;Gorki;['belgian rock', 'classic belgian pop', 'flemish folk']
749;Joe Bonamassa;['blues-rock', 'classic rock', 'electric blues', 'modern blues']
750;Radio Birdman;['australian rock', 'garage punk', 'garage rock', 'post-punk', 'protopunk', 'pub rock', 'punk', 'punk blues']
751;Cabas;['colombian pop', 'colombian rock', 'cumbia', 'ecuadorian pop', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'pop reggaeton', 'tropical']
752;Tommy Overstreet;['nashville sound']
753;Population Reduction;['necrogrind']
754;Kent;['dwn trap']
755;Snow Patrol;['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock', 'rock']
756;Borialis;['rap metal']
757;Bill Douglas;['celtic', 'healing', 'new age']
758;Alphonse Mouzon;['jazz funk', 'jazz fusion', 'soul jazz']
759;Luke Vibert;['acid house', 'acid techno', 'bass music', 'detroit techno', 'drill and bass', 'electro', 'electronic', 'hardcore techno', 'intelligent dance music', 'ninja', 'techno', 'trip hop']
760;Desert Dwellers;['healing', 'new tribe', 'psychill', 'world fusion']
761;Dub Wiser;['electro dub']
762;The London Theatre Orchestra;['theme']
763;Edmundo Ros;['ballroom', 'easy listening']
764;Anne Dudley;['british soundtrack', 'scorecore', 'soundtrack', 'video game music']
765;Sheek Louch;['hardcore hip hop']
766;Rainie Yang;['c-pop', 'cantopop', 'mandopop']
767;Bodies In the Gears of the Apparatus;['mathcore']
768;Mychael Danna & Jeff Danna;['canadian soundtrack']
769;Adrenalin O.D.;['crossover thrash', 'hardcore punk']
770;Dead Prez;['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop']
771;Old Man's Child;['autonomous black metal', 'black metal', 'death metal', 'melodic black metal', 'melodic death metal', 'norwegian black metal', 'norwegian metal', 'pagan black metal', 'symphonic black metal', 'viking metal']
772;Wayne Watson;['christian music', 'deep christian rock']
773;Pepe Romero;['classical guitar']
774;Korpiklaani;['folk metal', 'melodic death metal', 'metal', 'power metal', 'viking metal']
775;Les Witches;['early music ensemble']
776;Jose Luis Perales;['bolero', 'latin', 'latin pop']
777;Mar Azul;['cumbia sonidera', 'deep cumbia sonidera']
778;Cats In Boots;['glam metal', 'sleaze rock']
779;Lightnin' Slim;['blues', 'harmonica blues', 'louisiana blues', 'swamp blues', 'traditional blues']
780;Musical Youth;['uk reggae']
781;Spade Cooley;['cowboy western', 'western swing']
782;Weedeater;['doom metal', 'drone metal', 'post-doom metal', 'post-metal', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock']
783;Vox Dei;['argentine rock', 'latin metal', 'rock en espanol']
784;Guitar Slim;['blues', 'louisiana blues', 'new orleans blues', 'traditional blues']
785;Eagles Of Death Metal;['alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'punk blues', 'rock', 'stoner rock']
786;Barley Bree;['irish country']
787;Ed Bruce;['cowboy western', 'nashville sound', 'traditional country']
788;White Willow;['neo-progressive', 'progressive rock', 'symphonic rock']
789;Richard Galliano;['accordion', 'classical accordion', 'gypsy jazz']
790;Stevie Ray Vaughan And Double Trouble;['album rock', 'blues', 'blues-rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'southern rock', 'texas blues']
791;Marc Shaiman;['soundtrack']
792;Baby Bash;['chicano rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'latin hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']
793;Ebru Yasar;['arabesk', 'deep turkish pop', 'turkish pop']
794;Gwen Stefani;['dance pop', 'europop', 'hip pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']
795;The White Stripes;['alternative rock', 'blues-rock', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']
796;The Booth Brothers;['country gospel', 'southern gospel']
797;Groupa;['folkmusik', 'nordic folk']
798;Andrew W.K.;['comic', 'pop punk']
799;LL Cool J;['dirty south rap', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'new jack swing', 'old school hip hop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']
800;Radio Moscow;['blues-rock', 'garage rock', 'modern blues', 'modern hard rock', 'psychedelic doom', 'punk blues', 'space rock', 'stoner rock']
801;Beth Nielsen Chapman;['folk', 'lilith']
802;Singing Melody;['dancehall', 'lovers rock', 'roots reggae']
803;T Lavitz;['deep jazz fusion']
804;Alexandre Desplat;['french soundtrack', 'scorecore', 'soundtrack', 'video game music']
805;Isabel Pantoja;['spanish pop']
806;Tha Chamba;['deep east coast hip hop']
807;George Hamilton IV;['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
808;Lester Bowie;['avant-garde jazz', 'free jazz', 'jazz trumpet']
809;Les Ogres De Barback;['chanson', 'french folk pop', 'french reggae', 'french rock']
810;Lightnin' Hopkins;['acoustic blues', 'blues', 'country blues', 'delta blues', 'texas blues', 'traditional blues']
811;The Twinkle Brothers;['dancehall', 'dub', 'reggae', 'roots reggae', 'uk dub']
812;Janis Joplin;['blues-rock', 'classic rock', 'psychedelic rock', 'rock']
813;Jaci Velasquez;['ccm', 'christian music']
814;Fruko Y Sus Tesos;['boogaloo', 'cumbia', 'latin jazz', 'mambo', 'salsa', 'tropical']
815;Ragheb Alama;['classic arab pop', 'rai']
816;Dwight Twilley;['jangle pop', 'power pop', 'pub rock', 'underground power pop']
817;Bad Company;['album rock', 'blues-rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']
818;Taya wooden;['commons']
819;Bobby Hutcherson;['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz vibraphone', 'mallet', 'soul jazz']
820;US Coast Guard Band;['dixieland']
821;Bongzilla;['doom metal', 'drone metal', 'post-doom metal', 'psychedelic doom', 'sludge metal', 'stoner metal', 'stoner rock']
822;Daryl Hall & John Oates;['album rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']
823;Extrabreit;['german rock', 'neue deutsche welle']
824;Kaizers Orchestra;['dark cabaret', 'norwegian hip hop', 'norwegian indie', 'norwegian pop', 'norwegian rock']
825;The Dillinger Escape Plan;['alternative metal', 'djent', 'funk rock', 'jazz metal', 'mathcore', 'sludge metal']
826;Glad;['alternative emo', 'anthem emo', 'emo']
827;Kool Moe Dee;['east coast hip hop', 'electro', 'gangster rap', 'hip hop', 'hip house', 'new jack swing', 'old school hip hop', 'rap']
828;Les Hou-Lops;['chanson quebecois']
829;The Statler Brothers;['country', 'country gospel', 'country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country', 'western swing']
830;Alvin Youngblood Hart;['acoustic blues', 'blues', 'country blues', 'modern blues', 'traditional blues']
831;Wednesday 13;['horror punk', 'industrial metal']
832;Leningrad Cowboys;['finnish metal']
833;Bruno Sanfilippo;['compositional ambient', 'focus']
834;Terror Fabulous;['dancehall', 'lovers rock']
835;Masta Ace Incorporated;['east coast hip hop', 'hardcore hip hop', 'hip hop']
836;Los Munequitos de Matanzas;['cuban rumba', 'latin jazz', 'mambo', 'timba']
837;The Mighty Mighty Bosstones;['boston rock', 'modern ska punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']
838;Steve Chou;['c-pop', 'classic mandopop', 'mandopop']
839;Gang Starr;['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']
840;Ana Popovic;['blues-rock', 'electric blues', 'modern blues']
841;Killswitch Engage;['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']
842;A Day To Remember;['metalcore', 'pop punk', 'rap metal', 'screamo']
843;Dean Martin;['adult standards', 'christmas', 'easy listening', 'lounge', 'vocal jazz']
844;Ed Ames;['adult standards', 'christmas', 'easy listening']
845;Mississippi Mass Choir;['gospel', 'praise']
846;Eddie Palmieri;['boogaloo', 'cuban rumba', 'jazz piano', 'latin jazz', 'mambo', 'salsa', 'salsa international', 'tropical']
847;PRE;['classical cello', 'classical performance']
848;Deborah Coleman;['electric blues', 'modern blues']
849;Joey Negro;['chicago house', 'deep house', 'disco', 'disco house', 'nu disco', 'tribal house', 'vocal house']
850;Oliver Lake Quintet;['modern free jazz']
851;New Order;['alternative rock', 'art rock', 'britpop', 'dance rock', 'electronic', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'rock', 'synthpop', 'uk post-punk']
852;Asleep At The Wheel;['country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'texas country', 'traditional country', 'western swing']
853;Tony Joe White;['blues', 'blues-rock', 'electric blues', 'louisiana blues', 'modern blues', 'pub rock', 'roots rock', 'southern rock', 'swamp blues', 'swamp pop']
854;Jerry Reed;['country', 'country gospel', 'country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country']
855;Tshala Muana;['african gospel', 'makossa', 'mande pop', 'soukous', 'world']
856;Hinge;['alternative metalcore']
857;Caramell;['bubblegum dance', 'eurodance', 'europop', 'swedish eurodance']
858;Pedro Aznar;['argentine rock', 'cantautor', 'latin alternative', 'latin rock', 'nueva cancion', 'rock en espanol']
859;Pierre Boulez;['avant-garde', 'classical', 'contemporary classical', 'orchestral performance', 'serialism']
860;Slick Rick;['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'pop rap', 'rap', 'southern hip hop']
861;Herb Alpert And The Tijuana Brass;['adult standards', 'christmas', 'easy listening', 'exotica', 'lounge']
862;Moonspell;['gothic metal', 'melodic death metal', 'metal', 'pagan black metal', 'symphonic black metal', 'symphonic metal']
863;Faith Hill;['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']
864;Deodato;['bossa nova jazz', 'jazz funk', 'jazz fusion', 'soul jazz']
865;Hermeto Pascoal;['bossa nova', 'brazilian composition', 'choro', 'forro', 'mpb', 'samba']
866;Pat Metheny;['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz funk', 'jazz fusion', 'jazz guitar']
867;Kenny Rogers;['country', 'mellow gold', 'nashville sound', 'soft rock', 'traditional country']
868;The Radio Dept.;['chillwave', 'dream pop', 'indie pop', 'indietronica', 'metropopolis', 'noise pop', 'nu gaze', 'shoegaze', 'swedish indie pop']
869;Patrick Bruel;['chanson', 'french pop']
870;Love and Rockets;['dance rock', 'dream pop', 'gothic rock', 'industrial rock', 'jangle pop', 'neo-psychedelic', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'uk post-punk']
871;Torcuato Mariano;['smooth jazz']
872;Moon Mullican;['cowboy western', 'traditional country', 'western swing']
873;The All American Rejects;['modern rock', 'neo mellow', 'pop punk', 'pop rap', 'pop rock', 'post-grunge']
874;Kool Keith;['abstract hip hop', 'alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']
875;C.L. Smooth;['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap', 'turntablism']
876;When Dinosaurs Ruled The Earth;['austindie', 'noise punk']
877;Vilma Palma;['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']
878;Tyrone Wells;['acoustic pop', 'folk-pop', 'indiecoustica', 'neo mellow', 'pop rock', 'viral pop']
879;Twila Paris;['christian music', 'christian relaxative', 'deep christian rock', 'worship']
880;Sugar Minott;['dancehall', 'dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae']
881;Suicide;['death core', 'melodic metalcore', 'metalcore', 'rap metal', 'screamo']
882;Jazz Gillum;['chicago blues', 'country blues', 'harmonica blues']
883;DJ Taz;['new tribe']
884;The Vaughan Brothers;['blues-rock', 'electric blues', 'modern blues', 'texas blues']
885;Cancer Bats;['canadian metal', 'canadian punk', 'melodic hardcore']
886;The Clash;['alternative rock', 'classic rock', 'dance rock', 'new wave', 'permanent wave', 'punk', 'rock']
887;Hurricane;['deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']
888;The Fabulous Thunderbirds;['blues', 'blues-rock', 'classic rock', 'electric blues', 'modern blues', 'pub rock', 'rockabilly', 'roots rock', 'southern rock', 'texas blues']
889;Michael Stanley Band;['album rock', 'heartland rock', 'soft rock']
890;Word;['melodic metalcore', 'metalcore', 'post-screamo', 'rap metal', 'screamo', 'trancecore']
891;Markus;['big room', 'edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']
892;Deep Blue Something;['pop rock']
893;The Killers;['indie rock', 'modern rock', 'permanent wave', 'rock', 'vegas indie']
894;Anti-Flag;['melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']
895;Extasick;['digital hardcore']
896;Charlie Haden;['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'gypsy jazz', 'jazz', 'jazz double bass', 'jazz fusion', 'vocal jazz']
897;Chase & Status;['drum and bass', 'grime', 'house']
898;Modern Lovers;['alternative rock', 'anti-folk', 'art rock', 'boston rock', 'dance rock', 'dance-punk', 'experimental', 'experimental rock', 'folk rock', 'garage rock', 'indie rock', 'lo-fi', 'neo-psychedelic', 'new wave', 'noise pop', 'power pop', 'protopunk', 'psychedelic rock', 'pub rock', 'punk', 'punk blues', 'rock']
899;Sonny Simmons;['jazz saxophone']
900;Jean-Jacques Goldman;['chanson', 'french pop']
901;Dark Distant Spaces;['neo-synthpop']
902;Descendents;['melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']
903;Death SS;['italian metal', 'nwobhm']
904;Hubert Kah;['german rock', 'neue deutsche welle']
905;The Exies;['alternative metal', 'hard alternative', 'nu metal', 'post-grunge', 'rap metal']
906;Sounds Of Blackness;['gospel', 'new jack swing', 'quiet storm', 'urban contemporary']
907;Evergreen Terrace;['christian hardcore', 'melodic hardcore', 'melodic metalcore', 'metalcore']
908;Foghat;['album rock', 'blues-rock', 'british blues', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']
909;Jacques Ferchit;['accordion']
910;Bebo Norman;['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']
911;Vince Guaraldi;['adult standards', 'christmas', 'jazz trio']
912;Turisas;['finnish metal', 'folk metal', 'melodic death metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'slavic folk metal', 'viking metal']
913;Anthony Watson;['new jack smooth']
914;Aimable;['accordion']
915;Gary Hobbs;['tejano']
916;John Cale;['alternative rock', 'art pop', 'art rock', 'canterbury scene', 'chamber pop', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk', 'folk rock', 'fourth world', 'lo-fi', 'melancholia', 'neo-psychedelic', 'new wave', 'no wave', 'post-punk', 'protopunk', 'psychedelic rock', 'pub rock', 'roots rock', 'singer-songwriter', 'slow core', 'traditional folk', 'uk post-punk']
917;Dottie West;['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
918;Laurindo Almeida;['bossa nova', 'exotica', 'jazz guitar', 'lounge']
919;Saosin;['emo', 'metalcore', 'pop punk', 'post-hardcore', 'progressive post-hardcore', 'screamo']
920;AZ;['alternative hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']
921;Patton Oswalt;['comedy', 'comic']
922;Catupecu Machu;['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']
923;Amber Nicholson;['deep contemporary country']
924;Inner Circle;['reggae', 'reggae fusion', 'roots reggae']
925;Marc Perrone;['accordion']
926;Light Of The World;['brit funk']
927;Carlos Vives;['champeta', 'colombian pop', 'dance pop', 'latin', 'latin pop', 'tropical', 'vallenato']
928;Monster Magnet;['alternative metal', 'garage rock', 'grunge', 'hard rock', 'stoner metal', 'stoner rock']
929;T.I.;['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']
930;Hiram Bullock;['jazz electric bass', 'jazz fusion', 'jazz guitar']
931;Papa Wemba;['african gospel', 'afropop', 'azontobeats', 'makossa', 'mande pop', 'mbalax', 'soukous', 'world']
932;Lacy J. Dalton;['nashville sound', 'traditional country']
933;Marc Dorsey;['new jack swing']
934;Helen O'Connell;['cabaret']
935;Gil Semedo;['kizomba', 'morna', 'zouk']
936;Byther Smith;['blues', 'electric blues']
937;Wolfmother;['alternative rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'post-grunge', 'rock']
938;Sophie Tucker;['cabaret', 'vaudeville']
939;Ricardo Arjona;['cantautor', 'latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']
940;The Keys;['alternative rock', 'blues-rock', 'garage rock', 'indie rock', 'modern rock', 'punk blues', 'rock']
941;Beenie Man;['dancehall', 'reggae fusion', 'soca']
942;Sizzla;['dancehall', 'lovers rock', 'reggae', 'reggae fusion', 'roots reggae']
943;Steve Azar;['contemporary country', 'country', 'country road']
944;Gold City;['country gospel', 'southern gospel']
945;New York Dolls;['dance rock', 'garage rock', 'glam rock', 'post-punk', 'power pop', 'protopunk', 'pub rock', 'punk', 'punk blues', 'uk post-punk']
946;Danny Wright;['christian relaxative', 'classify', 'new age']
947;Joe Bataan;['boogaloo', 'classic soul', 'latin jazz']
948;Shamen;['acid house', 'big beat', 'britpop', 'electronic', 'hardcore techno', 'hip house']
949;Jude Taylor & His Burning Flames;['zydeco']
950;T-la Rock;['east coast hip hop', 'electro', 'hip hop', 'hip house', 'old school hip hop']
951;Hemdale;['deathgrind', 'goregrind']
952;The Exciters;['brill building pop', 'classic girl group', 'motown', 'northern soul']
953;Kate Maki;['canadian country']
954;Siouxsie;['alternative rock', 'art rock', 'dance rock', 'dream pop', 'gothic rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'rock', 'uk post-punk']
955;Circular;['psychill']
956;Tito Rodriguez;['bolero', 'boogaloo', 'cuban rumba', 'latin jazz', 'mambo', 'salsa', 'salsa international']
957;Devo;['alternative rock', 'art rock', 'dance rock', 'experimental', 'experimental rock', 'neo-psychedelic', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'synthpop', 'uk post-punk', 'zolo']
958;Tabu Ley Rochereau;['afropop', 'highlife', 'makossa', 'mande pop', 'soukous', 'world']
959;Miguel Migs;['afro house', 'deep house', 'disco house', 'groove room', 'nu disco', 'vocal house']
960;Steve Smith;['jazz drums', 'jazz electric bass', 'jazz fusion', 'jazz violin']
961;Stephan Micus;['arab folk', 'fourth world']
962;Laura Mikkola;['classical piano']
963;The Paynes;['southern gospel']
964;Young-Holt Unlimited;['jazz funk', 'soul jazz']
965;Moros Eros;['dreamo']
966;Janie Fricke;['country gospel', 'nashville sound', 'traditional country']
967;Fast Eddie;['acid house', 'chicago house', 'hip house']
968;The Del McCoury Band;['appalachian folk', 'bluegrass', 'jam band', 'old-time', 'progressive bluegrass', 'traditional folk']
969;Brenda Boykin;['acid jazz', 'electro swing', 'nu jazz']
970;Daft Punk;['electro', 'electronic', 'filter house']
971;BT;['progressive house', 'progressive trance', 'trance', 'uplifting trance']
972;Fudge Tunnel;['sludge metal']
973;The Radio Dept;['chillwave', 'dream pop', 'indie pop', 'indietronica', 'metropopolis', 'noise pop', 'nu gaze', 'shoegaze', 'swedish indie pop']
974;Ethel Merman;['broadway', 'cabaret', 'show tunes']
975;In Extremo;['folk metal', 'german metal', 'german rock', 'medieval rock', 'neue deutsche harte', 'viking metal']
976;Band Of Horses;['folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'stomp and holler']
977;David Bowie;['album rock', 'art rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']
978;Joan Sutherland;['classical performance', 'classical soprano', 'opera']
979;From Dying Skies;['screamocore']
980;Freddie King;['acoustic blues', 'blues', 'blues-rock', 'classic rock', 'electric blues', 'southern rock', 'texas blues', 'traditional blues']
981;K-OS;['hip hop']
982;Eric Burdon;['blues-rock', 'british blues', 'classic rock', 'psychedelic rock']
983;Jim Reeves;['adult standards', 'christmas', 'country gospel', 'cowboy western', 'nashville sound', 'rock-and-roll', 'rockabilly', 'traditional country']
984;Kingston Trio;['cowboy western', 'folk', 'folk rock', 'traditional folk']
985;Natalie Cole;['adult standards', 'christmas', 'disco', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']
986;African Rhythm Messengers;['highlife', 'soukous']
987;Gene Autry;['christmas', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
