thoughts,533
conversation,132
two,4913
people,3294
left,5655
accustomed,25
longer,901
care,3015
bother,212
lies,1248
danger,247
size,159
clothes,709
wear,777
comb,79
stranger,837
really,3797
wanted,1622
both,1786
nothings,48
wrong,4277
beds,51
leaving,1291
many,3296
unsaid,32
words,2712
seldom,103
notice,172
near,1029
fault,217
blame,1046
any,2561
colour,42
despise,20
yes,3631
am,5118
written,473
bryant,9
gene,44
watson,13
white,1971
lilies,31
grow,1492
fields,618
clover,108
tryin,965
reshape,12
mold,35
image,103
astandin,2
ho,387
somewhere,1752
vendor,3
filet,3
gumbo,43
going,3699
fell,1306
right,10671
sleep,2104
damp,24
tangled,155
sheets,181
soon,1922
after,2578
hot,1121
afternoon,300
bourbon,48
sleeps,116
baby,13486
shadows,636
girl,7082
guy,699
room,1716
high,3107
park,342
without,3636
heat,256
walkin,998
where,13018
under,1376
hummed,12
herself,172
tune,476
neckin,7
boys,1432
local,175
spot,286
midst,35
celebratin,5
newfound,3
freedom,658
ain,11103
call,4404
them,5592
walking,1477
papers,113
wasn,1335
brought,849
expecting,54
same,3221
dang,119
doe,26
bounce,29
looking,2296
woman,4114
dress,624
miss,2536
confident,12
yeah,8248
buddies,113
palm,140
actual,8
did,5107
open,1731
honey,2400
pourin,108
bottled,17
heaven,3499
knows,2892
believe,3967
devil,1053
might,3729
fair,734
playin,480
light,4349
square,176
hardy,46
wild,2148
overnight,49
sleek,6
blond,64
faking,28
big,4773
hits,220
emptying,5
barstool,32
formed,24
line,2615
slip,577
sight,917
hands,2838
picked,372
finally,1172
tell,9671
teardrops,559
speak,641
softly,380
true,4994
treasure,239
stay,3779
watch,1991
apart,1394
pride,947
reflection,109
plan,490
foolish,331
fills,159
desire,414
lying,629
helpless,135
burn,1020
fire,2657
does,1536
draggin,100
flames,259
ecstasy,40
burns,324
times,3170
far,3360
believing,224
tortured,48
silent,377
leftover,5
pretender,34
surrender,236
willingly,26
sorry,1066
worry,1118
hurry,476
memories,1431
packed,308
fit,512
sad,1740
pick,919
perfect,816
memory,1825
lonely,4212
anymore,1716
happy,2716
use,1157
real,2174
weve,60
caught,1033
middle,816
hearts,1816
breakin,234
fightin,187
backs,91
