age,NOUN
spring,NOUN
smell,VERB
say,VERB
pretty,ADV
went,VERB
look,VERB
outside,ADV
spray,NOUN
lay,VERB
side,NOUN
lit,VERB
choir,NOUN
sang,VERB
thousand,NUM
church,NOUN
bells,NOUN
dim,ADJ
work,NOUN
headed,VERB
town,NOUN
few,ADJ
determined,VERB
drown,VERB
pain,NOUN
losing,VERB
couple,NOUN
dance,NOUN
droppin,NOUN
quarters,NOUN
slot,NOUN
heartless,ADJ
thing,NOUN
kept,VERB
spinnin,NOUN
forgetmenots,NOUN
jukebox,NOUN
misery,NOUN
song,NOUN
felt,VERB
wailed,VERB
crying,VERB
always,ADV
singin,NOUN
along,ADP
well,INTJ
drank,VERB
became,VERB
mystery,NOUN
men,NOUN
wrote,VERB
songs,NOUN
must,VERB
hid,VERB
closet,NOUN
read,VERB
mail,NOUN
least,ADJ
ten,NUM
worth,ADJ
stop,VERB
meeting,NOUN
guess,VERB
d,VERB
we,PRON
meet,VERB
way,NOUN
again,ADV
long,ADV
seems,VERB
yesterday,NOUN
remember,VERB
spent,VERB
together,ADV
stays,VERB
feel,VERB
unrelenting,ADJ
march,NOUN
day,NOUN
fall,VERB
behind,ADP
other,ADJ
wish,VERB
above,ADP
tomorrow,NOUN
our,ADJ
builds,VERB
nothing,NOUN
worse,ADJ
than,ADP
bad,ADJ
better,ADJ
save,VERB
beautiful,ADJ
waste,VERB
heart,NOUN
mend,VERB
sooner,ADV
later,ADV
try,VERB
why,ADV
start,VERB
tonight,NOUN
full,ADJ
moon,NOUN
leavin,NOUN
break,VERB
dark,ADJ
nothin,NOUN
walk,VERB
moonlight,NOUN
let,VERB
run,VERB
stereo,NOUN
play,VERB
saddest,ADJ
sit,VERB
stare,VERB
bright,ADJ
refuse,VERB
bodies,NOUN
thoughts,NOUN
conversation,NOUN
two,NUM
people,NOUN
left,VERB
accustomed,ADJ
longer,ADV
care,NOUN
bother,VERB
lies,NOUN
danger,NOUN
size,NOUN
clothes,NOUN
wear,VERB
comb,NOUN
stranger,NOUN
really,ADV
wanted,VERB
both,DET
nothings,NOUN
wrong,ADJ
beds,NOUN
leaving,VERB
many,ADJ
unsaid,ADJ
words,NOUN
seldom,ADV
notice,VERB
near,ADP
fault,NOUN
blame,VERB
any,DET
colour,NOUN
despise,VERB
yes,INTJ
am,VERB
written,VERB
bryant,NOUN
gene,NOUN
watson,NOUN
white,ADJ
lilies,NOUN
grow,VERB
fields,NOUN
clover,NOUN
tryin,NOUN
reshape,VERB
mold,NOUN
image,NOUN
astandin,NOUN
ho,INTJ
somewhere,ADV
vendor,NOUN
filet,VERB
gumbo,NOUN
going,VERB
down,ADV
fell,VERB
right,ADV
sleep,VERB
damp,NOUN
tangled,VERB
sheets,NOUN
soon,ADV
after,ADP
hot,ADJ
afternoon,NOUN
bourbon,NOUN
sleeps,VERB
baby,NOUN
shadows,NOUN
girl,NOUN
guy,NOUN
room,NOUN
high,ADJ
park,NOUN
without,ADP
heat,NOUN
walkin,VERB
where,ADV
under,ADP
hummed,VERB
herself,PRON
tune,NOUN
neckin,ADJ
boys,NOUN
local,ADJ
spot,NOUN
midst,NOUN
celebratin,NOUN
newfound,NOUN
freedom,NOUN
ain,VERB
call,VERB
them,PRON
walking,VERB
papers,NOUN
wasn,ADV
brought,VERB
expecting,VERB
same,ADJ
doe,NOUN
bounce,VERB
looking,VERB
woman,NOUN
dress,NOUN
miss,VERB
confident,ADJ
yeah,INTJ
buddies,NOUN
palm,NOUN
actual,ADJ
did,VERB
open,ADJ
honey,NOUN
pourin,NOUN
bottled,VERB
heaven,PROPN
knows,VERB
believe,VERB
devil,NOUN
might,VERB
fair,ADJ
playin,NOUN
light,NOUN
square,ADJ
hardy,ADJ
wild,ADJ
overnight,ADV
sleek,ADJ
blond,ADJ
faking,VERB
big,ADJ
hits,VERB
emptying,VERB
barstool,NOUN
formed,VERB
line,NOUN
slip,VERB
sight,NOUN
hands,NOUN
picked,VERB
finally,ADV
tell,VERB
teardrops,NOUN
speak,VERB
softly,ADV
true,ADJ
treasure,NOUN
stay,VERB
watch,VERB
apart,ADV
pride,NOUN
reflection,NOUN
plan,NOUN
foolish,ADJ
fills,VERB
desire,NOUN
lying,VERB
helpless,ADJ
burn,VERB
fire,NOUN
does,VERB
draggin,VERB
flames,NOUN
ecstasy,NOUN
burns,VERB
times,NOUN
far,ADV
believing,VERB
tortured,ADJ
silent,ADJ
leftover,NOUN
pretender,NOUN
surrender,VERB
willingly,ADV
sorry,ADJ
worry,VERB
hurry,VERB
memories,NOUN
packed,VERB
fit,VERB
sad,ADJ
pick,VERB
perfect,ADJ
memory,NOUN
lonely,ADJ
anymore,ADV
happy,ADJ
use,VERB
real,ADJ
caught,VERB
middle,NOUN
hearts,NOUN
breakin,ADJ
fightin,NOUN
backs,NOUN
wall,NOUN
losin,NOUN
comin,NOUN
hurting,VERB
ignored,VERB
nobody,NOUN
cares,VERB
matters,VERB
tiny,ADJ
pieces,NOUN
waiting,VERB
step,NOUN
known,VERB
less,ADJ
forever,ADV
winter,NOUN
turning,VERB
summer,NOUN
giving,VERB
autumn,NOUN
winds,NOUN
changing,VERB
busy,ADJ
pages,NOUN
sobered,VERB
houston,NOUN
bed,NOUN
pickup,ADJ
truck,NOUN
hangin,VERB
heavy,ADJ
hardly,ADV
hold,VERB
thinkin,NOUN
sweet,ADJ
rollin,NOUN
listenin,NOUN
honky,ADJ
tonk,NOUN
hope,VERB
steer,VERB
texas,NOUN
redneck,NOUN
pop,NOUN
top,NOUN
getting,VERB
closer,ADV
arkansas,NOUN
trail,NOUN
lone,ADJ
star,NOUN
beers,NOUN
san,ADJ
antone,NOUN
up,ADV
grown,VERB
twice,ADV
rather,ADV
somebody,NOUN
else,ADV
forgive,VERB
exactly,ADV
someday,ADV
days,NOUN
lastthe,DET
skies,NOUN
blue,ADJ
wrapped,VERB
since,ADP
dream,NOUN
own,ADJ
thrill,NOUN
press,VERB
cheek,NOUN
spell,NOUN
cast,VERB
first,ADJ
kind,NOUN
matter,ADV
changin,NOUN
givin,NOUN
others,NOUN
grew,VERB
ran,VERB
looks,VERB
growing,VERB
very,ADV
climb,VERB
something,NOUN
give,VERB
late,ADJ
most,ADJ
until,ADP
drink,VERB
ry,ADP
off,ADP
bet,VERB
lucky,ADJ
forget,VERB
close,ADV
constantly,ADV
reminding,VERB
regret,NOUN
burgundy,ADJ
lead,VERB
scotch,NOUN
hurts,VERB
hang,VERB
easy,ADJ
yet,ADV
thank,VERB
showing,VERB
feels,VERB
erased,VERB
put,VERB
flame,NOUN
thanks,NOUN
woke,VERB
crossed,VERB
finding,VERB
poured,VERB
bought,VERB
house,NOUN
kids,NOUN
differently,ADV
belong,VERB
forgetting,VERB
comes,VERB
haven,NOUN
mirror,NOUN
smile,NOUN
hasn,VERB
rearranged,VERB
thinks,VERB
wouldn,NOUN
cheat,VERB
secret,NOUN
hidden,VERB
truth,NOUN
catching,VERB
hide,VERB
shame,NOUN
hurt,VERB
drivin,NOUN
insane,ADJ
runnin,NOUN
guilty,ADJ
waitin,NOUN
conscience,NOUN
destroyin,VERB
bothers,VERB
doorbell,NOUN
ring,NOUN
upset,ADJ
anybody,NOUN
sees,VERB
killin,VERB
quite,ADV
lot,NOUN
bringing,VERB
forgot,VERB
maybe,ADV
listening,VERB
hanging,VERB
means,VERB
escape,VERB
watching,VERB
attention,NOUN
didn,VERB
lie,VERB
companion,NOUN
die,VERB
til,ADV
best,ADJ
trouble,NOUN
touch,NOUN
bring,VERB
comfort,NOUN
understand,VERB
quench,VERB
thirst,NOUN
desert,NOUN
sand,NOUN
bottle,NOUN
courage,NOUN
past,NOUN
strong,ADJ
weak,ADJ
rule,NOUN
temptation,NOUN
kingdom,NOUN
wrongs,NOUN
seem,VERB
alright,INTJ
conceal,VERB
sober,ADJ
wants,VERB
often,ADV
quiet,ADJ
clear,ADJ
whiskey,NOUN
numbs,VERB
clouds,NOUN
vision,NOUN
doesn,VERB
condition,NOUN
luck,NOUN
completely,ADV
oughta,VERB
dear,ADJ
everybody,NOUN
stumbles,VERB
fear,NOUN
scared,ADJ
everyone,NOUN
their,ADJ
desires,NOUN
sitting,VERB
folding,VERB
chain,NOUN
cut,VERB
holding,VERB
heartbreaks,NOUN
mistakes,NOUN
ways,NOUN
share,VERB
nights,NOUN
pace,NOUN
while,ADP
dreaming,VERB
dolls,NOUN
unfolds,VERB
ago,ADV
tin,NOUN
road,NOUN
suitcase,NOUN
chasing,VERB
miles,NOUN
making,VERB
place,NOUN
kiss,VERB
gon,VERB
dying,VERB
sorrows,NOUN
disappear,VERB
set,VERB
troubles,NOUN
promise,NOUN
wherever,ADV
keeps,VERB
burning,VERB
wasting,VERB
sunken,VERB
dreams,NOUN
sound,NOUN
drunken,ADJ
screams,NOUN
echoes,NOUN
wheels,NOUN
awake,ADJ
asleep,ADJ
underneath,ADP
skin,NOUN
weight,NOUN
clean,ADJ
count,VERB
lashes,NOUN
undone,VERB
learned,VERB
lesson,NOUN
deal,NOUN
arise,VERB
wo,VERB
nt,ADV
putty,NOUN
ca,VERB
yours,PRON
fooling,VERB
heal,VERB
coming,VERB
curtains,NOUN
scene,NOUN
mean,VERB
learn,VERB
throughout,ADP
drawn,VERB
handed,VERB
lines,NOUN
morality,NOUN
yourself,PRON
point,NOUN
view,NOUN
proud,ADJ
ill,ADJ
because,ADP
sleeping,VERB
drinking,VERB
sharp,ADJ
sunburn,NOUN
cool,ADJ
school,NOUN
year,NOUN
invited,VERB
missed,VERB
antics,NOUN
lonesome,ADJ
blueeyed,ADJ
special,ADJ
us,PRON
taken,VERB
instead,ADV
drop,VERB
spoke,VERB
friend,NOUN
forgave,VERB
hated,VERB
bigger,ADJ
sixteen,NUM
innocence,NOUN
book,NOUN
leap,NOUN
faith,NOUN
angry,ADJ
baptist,NOUN
daughter,NOUN
answers,NOUN
understanding,NOUN
ground,NOUN
asked,VERB
corner,NOUN
preacher,NOUN
youth,NOUN
religion,NOUN
darkness,NOUN
falls,VERB
loves,VERB
chest,NOUN
interpretation,NOUN
landslide,NOUN
afraid,ADJ
crossing,VERB
flying,VERB
inquiring,VERB
minds,NOUN
being,VERB
catch,VERB
wrecking,VERB
ball,NOUN
cutting,VERB
walls,NOUN
seeing,VERB
feeling,NOUN
jokes,NOUN
aren,NOUN
funny,ADJ
isn,VERB
boat,NOUN
deep,ADJ
probably,ADV
sink,VERB
thanked,VERB
carrying,VERB
happily,ADV
darkest,ADJ
longest,ADJ
laugh,VERB
fight,VERB
trying,VERB
counting,VERB
secrets,NOUN
safe,ADJ
singing,VERB
mother,NOUN
says,VERB
dusty,ADJ
windows,NOUN
caroline,NOUN
surely,ADV
depend,VERB
climbing,VERB
faced,VERB
wasted,VERB
fly,VERB
phony,ADJ
owe,VERB
toll,NOUN
smiles,NOUN
problem,NOUN
books,NOUN
throw,VERB
wind,NOUN
hoping,VERB
carry,VERB
grieve,VERB
joy,NOUN
sacred,ADJ
tells,VERB
warnings,NOUN
child,NOUN
mountains,NOUN
rocks,NOUN
oceans,NOUN
drops,VERB
learning,VERB
hardest,ADJ
waking,VERB
collar,NOUN
coat,NOUN
raindrops,NOUN
sting,VERB
quietest,ADJ
wait,VERB
bend,NOUN
breaks,VERB
swinging,VERB
sleeve,NOUN
crossroads,NOUN
happens,VERB
whichever,ADJ
swear,VERB
touched,VERB
jewel,NOUN
studded,VERB
floating,VERB
seas,NOUN
green,ADJ
whenever,ADV
heartache,NOUN
feet,NOUN
touching,VERB
sing,VERB
army,NOUN
angels,NOUN
weep,VERB
rain,NOUN
curse,VERB
shackles,NOUN
blessed,VERB
news,NOUN
wore,VERB
shirt,NOUN
stupid,ADJ
overjoyed,ADJ
overwhelmed,ADJ
bones,NOUN
breathe,VERB
phone,NOUN
car,NOUN
bat,NOUN
youwere,VERB
such,ADJ
tease,VERB
wanna,ADV
wake,VERB
screwed,VERB
tight,ADV
tou,VERB
shut,VERB
slide,VERB
show,VERB
begins,VERB
panic,NOUN
sets,VERB
upon,ADP
ghost,NOUN
numbing,VERB
sensation,NOUN
lack,NOUN
leaves,NOUN
lullaby,NOUN
gray,ADJ
alarming,ADJ
disappointing,VERB
greets,VERB
push,VERB
surrounds,VERB
hey,INTJ
selfdestructive,ADJ
sane,ADJ
young,ADJ
bitter,ADJ
jaded,VERB
everyday,ADV
bite,NOUN
tongue,NOUN
razors,NOUN
live,VERB
stick,VERB
friendship,NOUN
golden,ADJ
crowns,NOUN
diamonds,NOUN
fingertips,NOUN
shining,VERB
wisdom,NOUN
traveled,VERB
ears,NOUN
god,NOUN
hate,VERB
overrated,VERB
revered,ADJ
celebrated,VERB
hello,INTJ
opens,VERB
themselves,PRON
classic,ADJ
rules,NOUN
places,NOUN
wandered,VERB
woods,NOUN
part,NOUN
stared,VERB
starry,ADJ
asking,VERB
purpose,NOUN
snow,NOUN
knowing,VERB
telling,VERB
noo,VERB
yeaaaaahhhhhhh,INTJ
damn,ADV
rattle,VERB
shake,VERB
tenpound,NOUN
death,NOUN
win,VERB
admit,VERB
amazing,ADJ
grace,NOUN
loved,VERB
tangent,NOUN
teeth,NOUN
stumble,VERB
family,NOUN
whatever,ADJ
toss,VERB
coin,NOUN
trust,VERB
turns,VERB
bottom,NOUN
land,NOUN
knife,NOUN
cross,VERB
opened,VERB
hurricane,NOUN
morrow,NOUN
sorrow,NOUN
ones,NOUN
walks,VERB
running,VERB
aches,VERB
blowing,VERB
candles,NOUN
fingers,NOUN
wishes,NOUN
hundred,NUM
racing,VERB
prayed,VERB
single,ADJ
word,NOUN
rise,VERB
empty,ADJ
space,NOUN
gettin,NOUN
dumb,ADJ
unaware,ADJ
pavement,NOUN
taught,VERB
fade,VERB
black,ADJ
meant,VERB
saved,VERB
hereafter,ADV
blanket,NOUN
shadow,NOUN
seasons,NOUN
fading,VERB
longing,NOUN
trees,NOUN
began,VERB
sway,VERB
wings,NOUN
anchor,NOUN
which,ADJ
bound,VERB
